user,waktu,review
roful watik,2 bulan lalu,"Pemgalaman ke gunung kelud apik, menyenangkan, spotnya indah banget, tapi ada yg bikin deg deg seeer pas di bonceng sama abang2...ya allloh ngeerrrri banget turun2 pengen muntaj rasa.ne...tapi untuk semua spot jos jis...kediri lagi lho iki..."
nofita arnela,setahun lalu,"gunung memang tempat yang indah untuk menenangkan diri . Dari parkiran mobil ke parkiran motor cuma bentar aja kemudian naik ojek bayar 30rb PP, kalo naik ojek dari parkiran mobil 40rb, disarankan ngojek diparkiran motor.. ."
Pena Destaviani MRamadhan,setahun lalu,"Salah satu tempat wisata rekomendasi di Jawa Timur.
Tiketnya cuma 10rb, kalau mau naik ojek bisa & terjangkau, pulang-pergi 40rb."
`Bo _Oi` (Amira najiha),5 bulan lalu,"main tangga roblox di rl seseru itu ya, tpi sygnya klo jatuh gk bisa respon lgi 😔 …"
Mahany,setahun lalu,"Salah satu destinasi wisata yang keren di kota kediri Jawa Timur yang patut untuk dikunjungi. Tiket masuk Rp 10.000, parkir gratis. Untuk toilet dan mushola ada diparkir an saja. Jadi sebelum naik ke kawah lebih baik ke toilet dulu …"
Gustav Subagio,2 tahun lalu,"Gunung yang selalu berubah pemandangannya saat saya kunjungi. Karena selalu pasca letusan. Lokasi wisata yang mudah dijangkau aksesnya. Pemandangan sangat indah, namun perlu  diperbanyak proses reboisasi agar tidak terlihat gersang."
E.ARI.N (Santuyingz),Diedit setahun lalu,"Random people bilang kalau anda plat AG agak aneh  kalau nggak pernah pergi ke kelud. Saran saya kesana waktu pagi atau sore hari, cari weekday kalau gak mau foto bocor, bebas mau naik ojek karena takut kalau capek dan karena gak punya waktu banyak atau jalan sendiri itung itung olahraga 😅 …"
Melviana.,8 bulan lalu,"Tempatnya sangat indah, bisa naik ojek atau jalan kaki"
Rahmat Arifudin 054,2 tahun lalu,"untuk gunung kelud dan keindahanya sungguh luar biasa. yang saya kecewakan adalah pengelolanya bayar 10rb + parkir 2rb, tpi saat sampai parkiran disuruh menata motor sendiri, kehilangan barang dimotor bukan tanggung jawab pengelola kan …"
Jin Jagger,setahun lalu,"udah beberapa kali kesana cuma baru skrg review dan posting gambar

lokasi mudah diakses buat motor maupun mobil …"
Nola Channel,9 bulan lalu,"Pertama kali ke sini aduhai sekaleee bestieee jalan menuju lokasinya....
Pakai maps ga nyasar kok aman,ada sebagian jalan yg rada exrrim kembet karna hujan..kita ambil jalur wisata bukan pendakian.. …"
Irawan Kunci,setahun lalu,"Gunung kelud adalah salah satu gunung cantik dan elok dijawa timur, Rutenya seru jika dari lokasi parkir mobil dan mau naik ke atas mesti naik gojek, jika mau jalan lumayan jauh. …"
Shella Wani,3 tahun lalu,"Destinasi wisata yang wajib dikunjungi ketika ke Kediri. Usahakan kalau kesana pas musim kemarau saja, karena kalau musim hujan jalanan jadi ekstrim dan cuma dapat pemandangan yang berkabut dan tidak terlihat sama sekali. …"
Rosemarie Jr,2 tahun lalu,"Kereen!

Kalau kesini kudu pagi2 dan jangan pas musim ujaan, kabutnya cepet turun tapi …"
Andri Sutisna,2 tahun lalu,"Untuk pengalaman saya itu banyak tempat yang kurang ke urus, padahal kalo di urusin lagi lebih bagus, tapi untuk pemandangannya bagus
Untuk yang pengen ke kawah bisa naik ojek tinggal bayar 40.000 atau jalan kaki."
Nilla Putri Rosidania,2 tahun lalu,"Kalo kesini wajib banget buat lanjut ke kawah, bisa jalan kaki atau naik ojek. Harga 40k buat ojek tapi worth it!! pemandangan diatas bener2 bagus, kalo pengen nikmatin pemandangan yg lebih bagus dan masih kuat jalan kaki ±5km lebih baik jalan kaki, seru!!"
Nagacirebon21 Naga,2 bulan lalu,Adem bagus pemandangan
Farid Muhammad Iqbal,setahun lalu,"Salah satu Gunung paling akftif yg ada di Indonesia yg terletak di kediri, gunung ini sangat bagus, penjual makanannya juga relatif murah, tapi sayang sekali kalau naik lebih ke atas harus naik ojek dengan alasan sudah ada paguyubanny, …"
AF Minion,2 tahun lalu,"Tempat wisata yg worth it banget buat dikunjungi. Untuk HTM cm 8rb dan 10rb di hari weekend, tambah 2rb buat parkir motor di dalem, dan untuk menuju ke puncak ada 2 pilihan yang pertama gratis kita jalan sendiri sampai ke kawah atau menyewa ojek, untuk ojeknya juga murah 30rb udah pp"
Diyah Puspitaningrum,6 tahun lalu,"Jauuuhhh banget hahaha. Letaknya ada di kecamatan Ngancar Kabupaten Kediri. Dari simpang 5 gumul masih sekitar 1 jam perjalanan naik motor yang bisa nyelip2 ketika macet. Lokasi ini bisa ditempuh menggunakan motor atau mobil, sayangnya …"
Dewi Maratus Sholikhah,6 tahun lalu,"Saya berkunjung tgl 12 Juni 2019, berdua sama teman naik sepeda motor, tiket masuk berdua plus biaya parkir kemarin habis 19.000. Dr tempat parkir saya dan teman memilih jalan kaki, itung2 olahraga. …"
Ria Dwi Afriana,2 tahun lalu,"MasyaAllah indah banget. Bisa lihat kawah yang berwarna hijau tosca tanpa perlu mendaki . Ojeknya jg cukup terjangkau, 40K buat PP dari parkiran ke kawah."
Hafizh Firmansyah,sebulan lalu,"Pemandangannya bagus, perjalanan nya banyak pilihan. Ada yang mudah dan ramah untuk orangtua"
Dwi Widiastuti,10 bulan lalu,Tempat wisata yg hrs dikunjungi pemandangannya bagus ......proses menuju ke lokasi jgenak ga begitu ekstrim ....abang² ojeknya jg ramah enak ......oleh² nanas keluarnya jg enak manis....
Lia Kanji,3 tahun lalu,"Eksotis sangat indah pemandangan jln untuk mobil tdk terlalu extreem namun untuk naik ke puncak ojeknya sangat uji adrenalin.
Di rest area mushola kamar mandi bersih banyak warung harga relatif murah sperti harga kaki lima tiket masuk per org 10rb
Untuk mobil 5rb"
Aziizah Fajar,setahun lalu,"Kalo Jateng punya telomoyo, jatim punya kelud. Sama sama bisa sampe puncak naik motor doang. Tp sbg orang Jogja aku blm pernah ke telomoyo. Lebih tertarik ke kelud dulu. …"
Winda Piglet,setahun lalu,"Kalo pengen ke Gunung tanpa mendaki ya Gunung Kelud ini pilihannya. Hehe. Bisa lihat kawahnya yg cantik tanpa perlu mendaki, cukup bayar ojek 30rb sudah sampai. Pemandangannya Indah bgt apalagi kalau waktu cerah"
Rizkie Oktariansyah,7 tahun lalu,"Good place for you if you want to spend your time in Kediri. ..
Gunung Kelud merupakan salah satu tempat wisata di daerah Kediri, gunung ini erupsi pada tahun 2014 namun sekarang telah dibuka kembali. Pasca erupsi pada tahun …"
Extivonus Fransiskus,7 tahun lalu,"Akses jalan menuju lokasi mudah, beberapa memang ada yang rusak, tapi overall masih bagus. Ada baiknya membawa motor/mobil dengan tenaga yang mumpuni, tapi sejauh ini kami memakai matic dan tidak masalah. Pemandangan bagus, terutama untuk …"
Jai Haka,6 bulan lalu,"Agustus 2025 , HTM 10k/org, parkir mobil 5k, ojek PP 40k(parkiran motor Kelud-kawah Kelud)"
Hafidz Lukman Hakim,3 tahun lalu,"Gunung kecil yang cukup melelahkan, untuk mengunjungi basecamp tulungrejo dapat di tempuh dengan sepeda motor dan mobil yang jalanya sebagian rusak, setelah sampai pos kita registrasi sebesar 15k dan parkir 10k, ada juga jasa ojek sampai …"
NeySha,2 tahun lalu,"Gak perlu capek2 naek gunung. Krna bs naek ojek 40rb sampai ke kawahnya gn.kelud. 😁
Pemandangannya sangat indah. Kita jg bs melewati inlet (terowongan) Ganesha. …"
Achmad Sirojudin,7 tahun lalu,"Gunung Kelud merupakan salah satu gunung berapi aktif di Jawa Timur.
Puncak-puncak yang ada sekarang adalah sisa dari letusan ada 3 puncak di Gunung Kelud, yaitu Puncak Kelud di sisi timur, Puncak Gajahmungkur di sisi barat dan …"
Nidha Ul Khasanah,setahun lalu,"Untuk ukuran perjalanan ke gunung jalannya sangat bersahabat, tidak banyak kendaraan yg lalu lalang, jalan tidak terlalu berkelok2, tidak terlalu menanjak atau curam. Datang jam berapapun tetap rasanya sejuk saat di kawah. Paling suka beli nanas di Kelud rasanya sangat renyah, manis agak asam & segar dengan harga yg sangat terjangkau."
Bayu Rahmad,6 bulan lalu,Gk usah diragukan untuk viewnya
Eduuu,6 tahun lalu,"This is one alternative destination when you visited kediri, east java. Easy to access by various vehicle like motorcycle, car or bus. It's more convenient if you go by car or motorcycle. You are not allowed ride your motorcycle to the nearest area of crater, but you can park them at parking place and continue hiking"
Arma Ima Sahata,8 tahun lalu,"Bagi traveler yang menyukai keindahan alam maka Gunung kelud adalah opsi yang bisa dijadikan pilihanhan.
Dari arah surabaya paling enak lewat ngoro kemudian kediri baru ke arah Blitar …"
Dewi Chen,2 tahun lalu,"Good view n fresh air 👍 entrance ticket Rp 10k per adult on public holiday, Rp 40k for return trip approximately 5km using motorcycle ojek. There are sellers u can get worth to buy pineapples🍍 the attraction is opened from 07.00-15.30 …"
Otnay91,7 tahun lalu,"Pemandangan cukup bagus & indah, dari pusat kota jaraknya lumayan sekitar 1jam lebih, untuk menuju kesana jalannya juga sudah aspalan semua jadi aksesnya gampang. Untuk puncak belum sampek karena pas kesana udah siang jd ga kuat panasnya, & …"
NUB PROJECT,Diedit 2 tahun lalu,salah satu gunung yang harus kalian kunjungi rek. pemandangannya bagus dan nggak perlu banyak effort sampai ke kawahnya. …
Muhammad Akbar Firdaus,6 tahun lalu,"[Just Info]
Gunung dengan tinggi 1731 MDPL ini cocok buat hikers awam yang mau cobain rasanya sensasi naik gunung . …"
farkaters oi,7 tahun lalu,Untuk masuknya rp 10000-15000an lupa pastinya jalannya tidak terlalu nanjak dan sudah diaspal sampai hampir puncak gunung kelud kalian bisa naik sepeda untuk sampai ke tengah tengah lalu dilanjutkan dengan jalan kaki untuk pergi ke puncak …
