user,waktu,review
Picastana,6 tahun lalu,"Lokasi Wisata yang sangat terkenal di Kabupaten Kediri Jawa Timur. Gunung Kelud adalah Gunung Berapi Aktif yang terkenal dengan kedahsyatan letusannya. Akses jalan ke Lokasi cukup baik, pengguna kendaraan roda4 diwajibkan berhenti sampai …"
Yosda,3 tahun lalu,"Pendakian via karangrejo, sepi di luar event nasional."
ラギル,7 tahun lalu,"tempatnya extreme, apalagi pas suhu sedang dingin."
Jeddy Bintang,6 tahun lalu,alam pesona kediri tak ada yang menandingi
Wurita Kim,8 tahun lalu,gunung kelud kediri tempat wisata pegunungan aktif tp menakjubkan
Sahrul Munir,8 tahun lalu,"Enak banget pas diatas gunung, tepat di pos yang paling atas. Suasananya sejuk.... Khas daerah pegunungan.
Awan putih berjalan pelan kearah kita, perlahan tapi pasti. Kemudian melewati …"
Mengenal Tokoh,3 tahun lalu,"Pemandanganx bagus, keren"
Naim Ach,8 tahun lalu,Ke kelud naik motor lebih seru. G perlu sewa2 kendaraan lg.🌋⛰ …
arma Bejo,7 tahun lalu,Maha besar Allah atas segala ciptaannya
Dea Septiani,Diedit 8 tahun lalu,"Wisata alam yg luar biasa. Bagus bnget. Udaranya sejuk. Mhon scepatnya dibuka jln mnuju kawah via Kediri.
Salam adventure..... …"
Lidya Hartini,7 tahun lalu,"View keren, menenangkan."
Fuatul Elysa,6 tahun lalu,"Gunung Kelud yang merupakan salah satu wisata yang ada di kabupaten kediri. Beberapa tahun lalu gunung ini meletus dan mengakibatkan abu vulkanik sampai ke kota-kota tetangga. Dulu jalannya sangat mulus, parkiran luas, kamar mandi bersih, …"
Alfi Ramadhaniar,8 tahun lalu,"Dingin banget sumpah , yang mau kesini jangan lupa bawa jaket ya ."
Diphylleia,4 tahun lalu,The view is breathtaking. It is worth the trip ❤️
REXXHA,7 bulan lalu,"udara sejuk,jajanan ramah di kantong"
Miss Linda,7 tahun lalu,"Pemandangan yang sangat indah dan udara yang sejuk, mampu membuat semua orang melupakan segalaa permasalahannya. Jalur yg sangat mudah untuk menuju tempat ini, membuat tempat inii menjadii tempat favorit orang"" yng ingin merasakan puncak gunung. Tetapi tidak ingin terlalu ektreme."
Pradita Budi ananda,6 tahun lalu,Pemandangannya amazing
Mari Asih,4 tahun lalu,Bagus banget Indah sejuk
Mardi Dwi Anggara,3 tahun lalu,"Pendakian via tulung rejo, medan nya bagus, sampai puncak bayangan tidak terlalu terjal. Jika ingin kepuncak akan turun kembali di jalur naga, dan jalur sangat terjal, nanti ditengah jalur ada persimpangan ke air terju. Jalur menuju air …"
Nur Ugik,setahun lalu,Somoga temen² yang datang bisa menjanga kelestarian alam. Dengan tidak buang sampah di gunung
moch ukaservis,2 tahun lalu,"Bagus pemandangan indah cuma untuk ke kawah harus pakai ojek, tidak ada hotel dan jalan terlalu curam."
dichi mubarok,7 tahun lalu,Selalu saja tetap menakjubkan... Gn. Kelud..... Amazing
siee_ mhungeel27,setahun lalu,"pemandangannya sangat bagus,cocok untuk foto dan udaranya sejuk[asyfa]"
Bryan Adam,9 bulan lalu,Bagus sih aku pertamakali ndaki di via Karangrejo aku kasih bintang ⭐⭐⭐⭐⭐
Yanti Wibowo,6 bulan lalu,Bagus
W. Arum,6 tahun lalu,"enaknya kalau kesana pagi, tempatnya sejuk. naik ojek sekitar 30-50rb tergantung dari gerbang berapa naiknya. jangan lupa bawa air minum, karena diatas tidak ada yg jualan."
prastowo,3 tahun lalu,"sewaktu aku berkunjung ke gunung Kelud, Alhamdulillah cuacanya seju.
sehingga tidak kepanasan
tapi aku tidak bisa menikmati keindahannya dengan sepenuhnya, kala itu mendung menyelimuti hampir di semua puncak gunung. Dilerengpun juga mendung"
kaki ku,6 tahun lalu,"Aku pribadi cukup aktif mengunjungi gunung aktif satu ini. Jalur wisata via kediri merupakan trek paling sering kulalui untuk sampai ke gunung yang berada di 3 kabupaten (Kediri, Malang, dan Blitar). Pasca letusan tanggal 14 Februari 2014, …"
harianto bastian,4 tahun lalu,"Datang sabtu pagi buanget, lgs masuk soalnya diloket ngk ada yg jaga, jalan untuk mobil aman, tempat parkir cukup, naik ojek dari parkir mobil kena 50k pp. Pemandangan bagus"
Novia Anjelina,6 tahun lalu,"Sangat indah. Mendakinya cukup jauh, tapi bisa naik ojek dari parkiran. Tidak ada toilet, harap bak sebelum kesini. Jangan lupa membawa minuman."
Triska Dewi Kusuma,5 tahun lalu,Jalur Pendakiannya sudah sangat bagus. Bisa untuk olahraga juga. Disediakan bapak-bapak ojek yang udah jago-jago buat nganterin para traveller lokal maupun luar. View-nya gilaaaa abiss... Kereeeen👍 …
Kang Hans,6 tahun lalu,Tempat enak sejuk.. Mantap
widi hidayat,4 tahun lalu,View nya ciamik..👌👍 …
Rio Wija,6 tahun lalu,"Salah satu tempat wisata di Kabupaten kediri. Meski gak begitu tinggi, namun pemandangan disini cukup menarik. Sayangnya tempat ini gak buka selama 24 jam. Sehingga waktu untuk eksplore cukup terbatas. Salah satu alternatif lain untuk bisa menikmati kelud selama 24 jam adalah dengan melalui jalur pendakian"
Ridwan Supriadi,6 tahun lalu,Menuju kawasan puncak Gunung Kelud sejak tahun 2004 hubungan jalan darat telah diperbaiki untuk mempermudah para wisatawan serta penduduk. Gunung Kelud telah menjadi objek wisata Kabupaten Kediri dengan atraksi utama adalah kubah lava. Di …
Ayu bigDream,4 tahun lalu,"Kesini sekitar 2019an silam
Pengalaman banget naik matic nyetir sendiri ampe atas amazing smpe atas gerimis donk tpi terbayarkan sama pemandangannya"
Safiul Falaq,8 tahun lalu,"Panorama alamnya itu indah sekali, udaranya sejuk, cocok sekali bagi anda ysng mau berlibur, dan yang paling saya suka dari tempat ini yaitu jalan misterinya, karena sampai saat ini masih menjadi misteri."
Eduardo CG,6 tahun lalu,One of the nicest volcanos in Java. Worth the effort to get to the crater!
Woro Wiri,6 tahun lalu,"Salah satu wisata alam di kediri yang selalu ramai dan selalu banyak di kunjungi wisatawan... tuket masuk 10rb..
Jalab sangat bagus sampeh kawah gunung..  ada ojek ke kawahnya dan ada nanas kelud yang manis siap di bawa pulang..."
Lien Karduki,5 tahun lalu,Puncak Gunung Kelud udara dan viewnya bagus sekali..walau disana belum banyak fasilitas untuk wisata sehingga tidak banyak pengunjungnya tapi cukup lah untuk makan2 dan nongkrong menikmati gorengan dan kopi panas atau menikmati duren khas kelud yang legit.
Yesaya Bijaksana,2 tahun lalu,"Parkir mobil dgn Kawah Gunung cukup Jauh, Jadi anda harus Menggunakan ojek untuk sampai di objek wisata"
Muhammad Isbat,setahun lalu,Memuaskan
Dian Linawati,9 tahun lalu,Lumayan menguji adrenalin. Tapi mantap jiwa.. hehe
EvelynLee,7 tahun lalu,"Aku ke kelud pas jaman kuliah sama temen-temen kampus ngCamp bareng. Namanya juga alam dan natural ya jelas bagus lah. Hal pertama yang kita lakuin pas sampai disitu adalah makan soto lamongan. Secara pribadi, ada 2 macem soto favorit aku, …"
MMF,6 tahun lalu,Gunung kelud merupakan gunung aktif yg meletus terakhir 2014. Kawah gunung kelud yg dulu adalah anak gunung sekarang berubah menjadi danau kecil berisi air. Jika ingin ke puncak ada 2 cara menggunakan kendaraan bermotor atau mendaki. Namun …
Tamhar Namratus,2 tahun lalu,"Untuk mencapai/mendekati area kawah diharuskan menggunakan ojeg setempat, 40rb per motor pulang pergi menggunakan tiket"
reza forgotten,5 tahun lalu,Sumpah keren banget kalau untuk jalur pendakian via blitar ya kawan kalo lewat kediri nanti sepeda motor bisa di bawa ke atas sampek parkiran klo mau sampek ke kawah dipersilahkan untuk maik ojek semoga bermanfaat
Gianna Muryanti,5 tahun lalu,Sungguh indah ciptaanMu Ya Alloh.
Risa Aryani,7 tahun lalu,Pemandangannya indah.
Muhammad Fatkur Rozi,9 tahun lalu,"Bagus, tapi masih dalam tahap perbaikan pasca erupsi"
Aura Mahi,7 tahun lalu,"Gunung Kelud sebelum erupsi Bagus banget, ada gua Jepangnya sayang, setelah erupsi jln ke gua nya ditutup. Tp ttp gunung kelud memiliki daya tarik tersendiri, bisa naik ke Puncak tp pake jasa bang ojek. Semoga gua jepangnya bisa cepat dibuka kmbali."
Mei Amelia99 (Mei J),6 tahun lalu,viewnya asli bagus banget.
Dwi Winarni,6 tahun lalu,Gunung kelud yg terletak didaerah blitar jatim pemandangan panorama alam sangat indah banget tempat bersih n indah apalagi melihat matahari terbit dipagi sangat indah menakjudkan......... Pendakian yg penuh tantangan n rintangan sampe kepuncak gunung.......
Mariya Jordan,Diedit 8 tahun lalu,dahsyat nya sikecil yang tersembunyi dari pantauan banyak orang.
Tya Marchelo,7 tahun lalu,"Tempatnya sangat dingin, enak buat ngopi. Jalanx agak nanjak. Tapi seru juga sih. Sepanjang perjalanan menuju gunung kelud, banyak taman buatan. Kebun nanas dan penjual nanas yang berjejer. Murah2 pula harganya."
ARWIN,2 tahun lalu,"Viewnya sangat Bagus, disarankan untuk naik pada pagi hari karena kalo udah siang kabut udah mulai turun"
Jerry Can,7 tahun lalu,"Lumayan adem, toilet tempat ibadah dan warung makanan ada di sekitar parkiran mobil, untuk ke atas dari parkiran mobil lumayan jauh, untuk sepeda motor bisa parkir di atas tapi untuk ke puncaknya biasanya hanya bibolehkan jalan kaki"
Livya Malvina,setahun lalu,Pemandangan yg indah jalannya bagus suasana menenangkan
Alfian Zamzami (Mbah),7 tahun lalu,"Gunung kelud terletak di kediri untuk wisata alam, untuk pendakian menuju puncak kawah lewat blitar tracking dengan estimasi kurang lebih 5 jam, disini lebih indah dari yang di kediri karena berada dipuncak behhh kaya bukan di indonesia gaes agaga"
HARPER GRAPH,8 tahun lalu,"Pernah melakukan pendakian via Tulungrejo, dengan tujuan ke puncak Kelud 1731 Mdpl kita bisa melihat view luar biasa indah seperti kawah dan sekeliling pegunungan."
Himma wanty,8 tahun lalu,Good views..not too high..
endar sasmito,8 tahun lalu,"cukup indah pemandangan disini, terlebih jika sudah berada di pos terakhir, namun untuk melihat kawah masih belum bisa karena sedang dalam tahap konstruksi ulang usai meletus 2014 yg lalu"
Kresna Wahyu Ramadhani,3 tahun lalu,"Kelut dalam bahasa Jawa; dalam bahasa Belanda disebut Klut, Cloot, Kloet, atau Kloete) adalah sebuah gunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong aktif. Gunung ini berada di perbatasan antara Kabupaten Kediri, Kabupaten …"
Fanny aulia,2 tahun lalu,Seru banget liat pemandangan  alam syegerr
ahmad izzul widad fahmi,7 tahun lalu,"Gunung Kelud (sering disalahtuliskan menjadi Kelut dalam bahasa Jawa; dalam bahasa Belanda disebut Klut, Cloot, Kloet, atau Kloete) adalah sebuah gunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong aktif. Gunung ini berada di …"
Richo daniel01,8 tahun lalu,"Tempat keren pemandangan indah sayang pas habis meletus pemandian air hangatnya masih belum bisa, keingit waktu sekolah subuh subuh kesana bela belain buat mandi air hangat nan menyehatkan kulit"
C-met Pletok,3 tahun lalu,Indah n bagus
Astrid Herrmann,7 tahun lalu,Temporary closed from the west. But the gate is cut open and people go there. Impossible to get there by public transport. Nice view. Better option is to get a taxi to the east and hike up for three or four hours to the crater. The hike …
Waahhyuuu Nn,Diedit 3 tahun lalu,Suatu keindahan yang dibanggakan warga sekitar dan luar💕 …
Rudy Prayitno (Rudy SP),6 tahun lalu,"Gunung Kelud adalah salah satu gunung  Aktif di Indonesia yang masih terus tumbuh dan berkembang. Sebelum tumbuh besar dan tinggi, pada bagian keluarnya magma bisanya tersumbat oleh Lava yang membeku. Proses alami inilah yang menarik bahwa …"
Mustakul Sodin,4 tahun lalu,Saya berasal dari blitar saya swnang berkunjung karena saya sebagi pecinta alam muncak selalu mengajarkan untuk mencintai budaya alam.ke agungan sang yang widi wasa.
Ichwan Riyanto,Diedit 8 tahun lalu,"Akhir 2015 yang mengesankan. Dengan berboncengan bersama anak laki-laki, mengendarai sepeda motor Shogun 125, melakukan perjalanan dari Nganjuk ke gunung Kelud, Kediri. Route yang dilewati adalah : Nganjuk-Gudang Garam-Simpang Lima …"
Wendys Aldilla Rosa,5 tahun lalu,"Salah satu gunung yang bisa didaki sampai ke kawah. Terakhir kesini udah lama banget, 4 tahun yang lalu. Jalannya mulus, motor bisa dinaiki sampe atas, batas maksimal naik motor. Kalau naik mobil, batas maksimalnya agak ke bawah lagi jadi …"
budi masrianto,7 tahun lalu,"Gunung api ini termasuk dalam tipe stratovulkan dengan karakteristik letusan
eksplosif . Seperti banyak gunung api lainnya di
Pulau Jawa , Gunung Kelud terbentuk akibat proses subduksi lempeng benua …"
Gito Bolo Dewe,6 tahun lalu,Banyak tempat wisata kalau menujuh gunung kelut
Hakim Muhammad,8 tahun lalu,rindu alam dengan keindahanya...
Muhammad Hanif,7 tahun lalu,So sad the place is closed because the main road is buried in rocks
sulhanz,7 tahun lalu,"Kapan ya mau kesini. Sejak erupsi 2014..sebelumnya udh pernah.  Pertama kali masih bisa mandi di kawah, sampe keluar anak kelud yang menutupi kawah... Cm liat dr kejauhan."
Iriani Shofie,6 tahun lalu,"Jalanx sdh aspalan bagus dan hrs parkir kendaraan disitu kl mau jln gpp, kl mau ojek, menuju kawah Alhamdulillah sdh standby ojeknya tinggal byr nt kl sdh di lokasi murah ktn kita bs foto2 sepuasnya"
Flory Kristina,6 tahun lalu,salah satu keindahan dari Gunung Kelud adalah pemandangan yang tidak ada habisnya saat perjalanan memuncak . perbukitan hijau serta perkebunan nanas menjadi pemandangan yang bisa dilihat saat mendaki Gunung Kelud 😊 …
Dini Fauziyyah,7 tahun lalu,Pemandangannya bagus hanya saja bukitnya ngga kliatan terlihat seperti tebing. Masuk ke kawah juga ngga selamanya orng bisa lihat karna bisa masuk itu d hari tertentu saja.
Sarah Emil,4 tahun lalu,"Luar biasa indahnya pesona gunung kelut, dilihat dari arah manapun sungguh mempesona. Petugasnya jg baik sopan². Lokasi bersih tidak ada coret²an, bersih tidak ada sampat berserakan. Tiket terjangkau 10 rb, parkir mobil 5 rb. Ada mushola, …"
ari purwantono,4 tahun lalu,Wisata Alam yang sangat aestetik.. Alam nya masih alami... Cuaca nya fresh.. Tiket terjangkau... Unt ojek juga tdk menguras dompet.. Dijamin memuaskan
Almer Fawwaz,7 bulan lalu,Kalo mau makan nanas disini aja enak
Eko Darmawan,6 tahun lalu,Bagus sayang bukanya jam 7 sampai jam 4 sore
Lintang Dewi Agustin,2 tahun lalu,Kesini pas KKN dan emang sebagus itu
PETANI JAWA,setahun lalu,Baguus pemandaganya. Cumak di gunung yang gk ada fasilitas buat santai
horosha,6 tahun lalu,Gunung Kelud merupakan salah satu gunung berapi paling aktif di Indonesia. Letusan terakhir Gunung Kelud terjadi pada tahun 2014. Dampak berupa abu vulkanik pada tanggal 14 Februari 2014 dini hari dilaporkan warga telah mencapai Kabupaten …
usman maulana Ismail,5 tahun lalu,"Gunung berapi yang pernah meletus pada zaman pemerintahan Bpk Susilo Bambang Yudhoyono ini menarik sekali, selain pemandangannya yang indah dan hawa yg cukup sejuk juga angin yang cukup kencang. …"
Paijo Londho,4 tahun lalu,"Gunung Kelud memang luar biasa. Ketinggian 1731 MDPL. Parorama keindahan alam yang istimewa.
Lewat jalur wisata Kediri Sugihwaras. …"
Pak Tomy,3 tahun lalu,"Gunung Kelud tempat wisata yg asri  alami  perlu di lestarikan demi kenyamanan berwisata semoga ttp aman & terjaga ke Asrian nya,,,☝️👍 …"
Ava Ulva,6 tahun lalu,"Pemandangannya sangat indah siapkan stamina untuk kesini karena selain nanjak udara juga dingin,jangan lupa pakai jaket"
intan purnama sari,6 tahun lalu,"Pemandangan sepanjang jalan ke kawah kelud bagus banget, tp sayang cuma bisa naik ojek pangkalan atau motor pribadi walaupun sebenernya tidak disarankan naik motor pribadi karena jalannya cukup curam.  Kalo bisa harus motor gunung soalnya …"
Tegar Wahyudi,9 tahun lalu,keren seperti di gurun
Romy Al-Jimar,3 tahun lalu,"Di setiap keindahan menyimpan misteri.
""Yah Deket kok, nanjak dikit belok kiri, oh turun dikit belok kanan terus ke kiri lagi rada nanjak dan nyampe"" but the imagine not be like a reality. But this place is awesome and beautiful"
Anto Wijaya Anto Wijaya,7 tahun lalu,"Asyk buat selfi,jalan cukup menantang,
Ada rest area juga
Dari puncak akan terlihat viu yang indah bila cuaca cerah"
fatkhul hadi,7 tahun lalu,"Pertama kali ke sini langsung jatuh cinta
Ojek 50 K PP
Tempat makan minum murah standart gak mahal2 banget
Yang suka duren wajib mencoba enak banget dan ada nanas madu"
Otomotif Truck,7 tahun lalu,Terlalu indah untuk di ungkap kan
Guruh Wahyu Pamungkas,setahun lalu,"Kelihatannya bagus dan indah, tpi saya belum pernah kesini.
Temen2 pernah kesini tpi nggak ngajak saya.
Hehe tpi gapapa, lain waktu saya bisa kesini"
Anggi Annastiti,4 tahun lalu,dari kecil di Kediri tapi baru ini ini aja main ke kelud
Abyan Zaenal,3 tahun lalu,"Good recommended, wisaga gn berapi di antara kediri blitar, terdapat 2 cara oendakian bisa dengan hiking dan bertamasya ria"
Retno Puji Rahayu,7 tahun lalu,"Recently, my friends and i went hiking to see the crater"
Noor,4 tahun lalu,wow...pemandangan naik ke kawah kelud menakjubkan...abang ojeknya ramah sopan....ayo jangan jauh2 kalau cari spot foto yang bagus...ke sini aja
Fendy4all,5 tahun lalu,"Per Maret 2021 Wisata Gunung Kelud masih ditutup. Akses portal masuk parkiran mobil motor ditutup. Satu-satunya akses masuk menuju ke kawah atau non-kawah hanya menggunakan jasa ojek warga sekitar dengan tarif 50rb/orang (bukan weekend), …"
Arief Sirul,3 tahun lalu,"Bagus bnget,perjalanan ke kawah naik ojek 30 rbu prorng udah bolak balik,,aslinya jln kaki enk cuma waktu mepet jd ngojeki"
Hendy Arif,5 tahun lalu,"Tempat yang indah. Berada di Kabupaten Kediri, Jawa Timur. Mudah ditempuh dengan perjalanan darat dari Kota Keidiri sekitar 1 jam. Pemandangannya menakjubkan. Cocok untuk wisata bersama teman, pasangan, atau keluarga. Ada banyak spot foto disini."
dkfna kim,7 tahun lalu,pemandangan bagus meskipun setelah erupsi. cocok untuk refreshing. setelah tempat parkir yg atas harus jalan kaki yg lumayan menguras tenaga.
Iyet Mieayam,8 tahun lalu,Siip dah pokoknya gunung Kelud
Iwan Nisaburi,4 tahun lalu,"Serasa lewat di atas awan begitulah kesan pertama lewat jalan menuju gunung kelud,, sangat indah sekali,, ada tempat kemah nya juga lho"
rahmat syarif,7 tahun lalu,Dulu cuma bisa di daki lewat jalur pendakian.. Tapi sekarang mobil pun bisa naik sampe puncak.. Hanya berjalan sedikit
Fatchur Rozi,6 tahun lalu,Gunung dengan pemandangan yang sangat indah tetapi dalam perjalanan menuju puncak gunung ini tidak terdapat sumber air yang bisa dikonsumsi oleh manusia.
Abdul Mutaali Balmukhtar Al-Idrisi Al-Hasani,6 tahun lalu,"perlu dilakukan reboisasi terutama pada bukit bukit dan lereng yang gundul, agar tidak terjadi longsor dan air yang tumpah dari langit ketika musim hujan tidak langsung membanjiri lembah, perlu pohon yang akarnya kuat menyimpan air, seperti pohon beringin"
andik eka,4 tahun lalu,"Selain untuk beribadah masjid Songo juga banyak kegiatan2 keagamaan lainya seperti pengajian, terbang Banjar dll.."
Sayo Yonasta,4 tahun lalu,"Wisata gunung yang eksotis.....sudah 5x aku kesana,dari sebelum meletus era 2000an sampai dua kali letusan yang memunculkan anak kelud,situasi sekarang setelah anak kelud hilang belum pernah kesana lagi!"
Rakhiel Marsaullina,7 tahun lalu,Destinasi wisata di kabupaten kediri yg semakin berbenah diri..bagus tempatnya..merupakan gunung aktif dimana anak kelud terus tumbuh dan tahun 2014 anak kelud tersebut meletus dan material anak kelud habis dan efek letusannya abu nya …
SJM Tech,2 tahun lalu,"Bagus banget tempatnya, udaranya sejuk, terbaik dikediri, terutama tempat² makan dan penjual buahnya ramah dan harganya super murah"
ILYAS,9 tahun lalu,"Pada 10 Februari 2014, Gunung Kelud dinaikkan statusnya menjadi Siaga dan kemudian pada tanggal 13 Februari pukul 21.15 diumumkan status bahaya tertinggi, Awas (Level IV). Hanya dalam waktu kurang dari dua jam, pada pukul 22.50 telah terjadi letusan pertama tipe ledakan (eksplosif)"
Sri Kusumaningrum,3 tahun lalu,Salah satu wisata favorite ketika belajar bahasa Inggris di Pare. Paling seru kesana bareng temen temen kelas kemudian beli nanas dijalan. Dari parkiran ke kawah sekitar 20-40 menit dengan jalan kaki. Bisa juga dengan ojek motor kisaran 50 …
mbemmbem oon,7 tahun lalu,"Salah satu gunung teraktif di indonesia,produk unggulannya nanas dg harga yg sangat terjangkau.akses menuju sini sangat mudah,banyak wahana wisata yg di tawarkan.untuk tiket masuknya pada weekend per orang 10 rb.."
yohan wijaya,4 tahun lalu,Masih tutup ppkm..
Aafif Syaifullah,setahun lalu,worth it bgt buat yang pgn muncak tapi track nya mulus
Enji Adi Purwanto,8 tahun lalu,"Gunung Kelud adalah gunung aktif yang mempunyai ketinggian 1.731 Mdpl, gunung Kelud terletak diantara Blitar, Kediri dan Malang. Untuk akses pendakian gunung Kelud ini saya lebih suka jalur pendakian gunung Kelud via Desa Tulungrejo Kec. …"
Nayla gbL,4 tahun lalu,Kawah gunung kelud .. beautiful 😊 …
Yuda Rohmadani,5 tahun lalu,banyak tempat keren di atas. perjalanan menuju ke kawah lumayan terjal tapi asik
Riska Faida,Diedit 5 tahun lalu,Pemandangannya bagus banget masih asri banget.. Enak bngt kalau ksana. Pasti bakal ketagihan kayak q.
Alif Rahmadani,7 tahun lalu,"Gunung Kelud adalah salah satu gunung berapi yang masih aktif di Jawa timur, gunung yang menyajikan pesona alam di sekitarnya dan masih alami dan sejuk, cocok buat kalian yang ingin libur mendaki di kelud"
Arsa Channel,7 tahun lalu,"Wisata yg mengasyikkan,walau utk samp puncak bth tenaga ekstra,tp setelah samp puncak,seakan terbayar sdh capeknya dg pemandangan yg di suguhkan."
Dimas Fajarianto,5 tahun lalu,Tempat yang menarik untuk dikunjungi
Sutan Syahrul Ramadhan,8 tahun lalu,Dengan suasana sejuk dan hujan rintik2 menambah indah ny pemandangan ketika berada disana dan juga dapat mandi air panas d daerah bwah anak gunung
Saila Alfiatin Nuha (Saila Alvi),9 tahun lalu,Gunung Kelud sangat indah. Subhanallah... Allahu Akbar ☝
Mawar Ashila,6 tahun lalu,Tempatnya bagus sih dan bersih tapi sayang untuk ke puncak harus ngojek dulu padahal pengunjung membawa kendaraan sendiri.
Good boy,7 tahun lalu,Masih alami Bekas letusan Gunung
Wemmy Ak,4 tahun lalu,Panorama Kawah Yang Indah Dan Jalur Pendakian Via Desa Tulungrejo Kab. Blitar Sangat Recommended.
pronk 2002,9 tahun lalu,"kalau pas ga hujan dan pas panen nanas madu.. wuiih.. nanas madunya juara banget. ajiib banget. tanpa dicuci, tanpa gatal dimulut, dan tanpa rasa asam, manis thok. luar biasa. ajaib banget. recomended👍 …"
Yudha A Setyawan,7 tahun lalu,"Gunung kelud yang berada di Kediri Jawa Timur ini terakhir meletus pada tahun 2007 lalu. Gunung ini menjadi obyek wisata menarik yang patut dikunjungi jika anda sedang liburan di kota Kediri, banyak kisah dan keindahan alam yang tersimpat …"
Sutikno,6 tahun lalu,Liburan NataRu 2019 2020. Sangat ramai.
Nanang Sukistiyawan,6 tahun lalu,"Pemandanganx bagus, perlu ditambahkan lagi tempat2/pos area di dekat area kawah gunung kelud untuk menikmati suasana indahnya pemandangan alamnta"
Victor Wardhana,7 tahun lalu,"Tempat wisata yang masih bisa berpotensi besar untuk dikembangkan ...  Tetap dipertahankan baik biaya masuk, harga makanan, serta kantong parkir di atas di perluas"
Satryo Widodo,4 tahun lalu,Tersedia ojek saat ingin ke puncak atau bisa gunakan motor untuk ke puncak
Ritma Wanti,setahun lalu,Tempatnya bagus tapi jalannya jauh mending naik ojek aja
Papa Ku,8 tahun lalu,Gak terlihat lagi
Myln Diana,8 tahun lalu,Sumpah indah banget pemandangannya. Nyegerin mata juga
Prasetyo Hadi,7 tahun lalu,"Sengketa status kepemilikan Gunung Kelud telah terjadi sejak lama antara Kabupaten Kediri dan Kabupaten Blitar. Kedua belah pihak, baik Kabupaten Kediri maupun Kabupaten Blitar sama-sama mengklaim atas kepemilikan Gunung Kelud. Pada tahun …"
Iqbal Rosyid,7 tahun lalu,gunung kelud adalah sebuh gunung yang bersejarah gunung ini merupakan gunung aktif ......dan jikalau gunung ini meletus abu vulkaniknya pun bisa melesat jauh kemana mana.....tapi dibalik itu semua gunung ini memiliki puncak yang sangat indah dan di puncak gunung ini juga ada pemandian air hangat.
Azrul Ananda,8 tahun lalu,Dari ketinggian entah berapa MDPL ini kita bisa melihat betapa indahnya betapa gagahnya dan betapa agungnya ciptaan Tuhan ini.... Andaikan kita bisa mendengarkan rintihan pilu sang ALAM dengan keluh kesahnya tentang KITA yang lemah tetapi angkuh berdiri di atasnya.... Masihkah kita ingin mendengarkan rintihanya lagi ______ ?
Edy Winarto,8 tahun lalu,"Weekend naik gunung parkirnya terbatas, ada yg turun baru boleh naik.
Udara segar, viewnya elok, luar biasa nusantara ini."
Heri Susanto,8 tahun lalu,"Pada hari minggu pukul 08.50 WIB saya dan istriku ingin menuju ke puncak g.kelud, perjalanan ditempuh sekitar 2 jam dari desa rembang ke Ngancar bukit g.kelud,ingin naik ke puncak pas sampai di bukit tapi kondisi kendaraan gak dukung jadi …"
Djamal PP,2 tahun lalu,Tempat yang luar biasa untuk wisata keluarga dan temen sekolah maupun kantor. Sangat indah dengan fasilitas yang sangat memadai.
Imam Nurcahyo,3 tahun lalu,Sebelum parkiran motor
A. Fanny Imadudin,7 tahun lalu,"Wisata alam yang populer di Kediri. Kita bisa menikmati pemandangan alam yang menakjubkan, dan menghirup udara segar di tempat ini."
Fathur Banter,7 tahun lalu,"Pemandangan alam yang indah, dan yg paling penting pastikan kondisi badan benar-benar sehat sebelum mendaki gunung tersebut."
1min SpongeBob,6 tahun lalu,"Gunung Kelud merupakan gunung yang berada terletak di Kediri, Blitar, dan Malang. …"
Oki Rizky,5 tahun lalu,Pas disini dapat bgt view nya bagus pol karena waktu kabutnya tidak setebal waktu pertama saya kesana cmn sygnya disini jgn lupa bawa persediaan air yg banyak ya karna untuk sumber airnya ada cmn medannya agak susah dan btuh waktu krg lebih 1 jam
Uncle Bibob,setahun lalu,Kalau bisa bawa motor sendiri KENAPA harus gojek?....
Bagus Rb,3 tahun lalu,Disana tempatnya sangat indah tapi sayang kemarin pas kesana cuma keliatan kabutnya doang yang tebal cuacanya juga lagi mendung
Endang Srigati,8 tahun lalu,"Bagi yang hobby mendaki,jalan menuju Kelud tidak masalah..cuma segera diperbaiki jalan yang berlobang biar nyaman dilewati.."
zahratul mawadah,7 tahun lalu,Disini kamu bakal ngerasain yang namanya kendaraan jalan sendiri tanpa ada bantuan bahan bakar..hehe.. …
shinta gunawan,6 tahun lalu,Salah satu gunung yang termasuk mudah di tempuhnya apa lagi untuk pendakian maupun cuma berwisata menggunakan motor mobil
Vivian Rezalia,8 tahun lalu,"Gunung Kelud via Tulungrejo, blitar. Terdiri dari 2 pos, punggungan bukit dan kawah kelud. Tidak ada sumber mata air. 2 hari cukup untuk pendakian maupun tiktok."
Entos Sumarmoyo,2 tahun lalu,"Viewnya bagus, aksesnya bagus, sayang vespa saya nggak bisa sampek kawah..🤣🤣🤣 …"
mokhamad kifli,3 tahun lalu,⭐⭐⭐⭐⭐
Fa Bian279,7 tahun lalu,"Gunung Kelud, adalah sebuah gunung berapi yang masih aktif dan terletak terletak di Kabupaten Kediri, tepatnya di perbatasan kabupaten Kediri dan Blitar, 27 Km dari arah timur kota Kediri. …"
